Project Title,Project Type,Planned Budget ($),Actual Budget ($),Planned Schedule (Weeks),Actual Schedule (Weeks),Planned Scope (Story Points),Actual Scope (Story Points),Project Manager Title,Project Manager Skill Level,Leadership Support,Team Collaboration Level,Stakeholder Engagement,Work-Life Balance (hrs/week),Psychological Safety Score,Resource Availability,Turnover Rate (%),Development Methodology,DevOps Adoption,Automated Testing Coverage (%),CI/CD Pipeline Usage,Code Review Process,Technical Debt Level,Cloud-Based Development,Security Practices,Team Size,Average Experience Level,Senior to Junior(5),Expected Sprint Completion Rate (%),Task Completion Rate (%),Expected Velocity (Story Points per Sprint),Estimated Cycle Time (Days per Task),Defect Rate (Bugs per KLOC),Number of Dependencies Blocked,Project Info Score,Environment Score,Technical Score,Stability Score,Productivity Score,Resource Utilization Score,Risk Score,Total Score,Project Success
Project_1,Embedded System,303511,303423,21,19,250,251,Project Manager,1,Medium,3,Strong,50,4,Insufficient,9.98,Waterfall,Yes,75,Yes,Formal,High,Yes,Advanced,11,Mid,2,91,96,20,4,1.67,0,6.33,5.72,7.81,8.33,6.86,6.87,2.66,7.0,1
Project_2,AI/ML Project,275510,258346,29,33,361,361,Project Manager,1,Low,8,Strong,50,2,Insufficient,0.57,Kanban,Yes,63,Yes,Formal,Low,Yes,Intermediate,10,Junior,3,90,100,60,6,1.15,1,4.33,6.39,8.91,8.0,8.2,6.09,2.73,6.72,1
Project_3,Data Analytics,336268,334817,27,31,217,202,Project Manager,3,High,9,Strong,35,5,Insufficient,0.24,Agile,Yes,94,Yes,Formal,Low,Yes,Basic,17,Mid,3,85,98,60,4,2.83,0,6.26,8.13,9.3,8.0,7.81,7.13,3.28,7.48,1
Project_4,Web/Mobile App,290298,314109,20,24,152,139,Technical Lead,1,Low,5,Moderate,40,8,Limited,11.14,Scrum,Yes,73,Yes,Ad Hoc,Medium,Yes,Advanced,11,Junior,3,91,95,60,9,3.19,0,3.48,6.49,8.41,8.0,6.93,5.34,6.37,5.62,0
Project_5,Data Analytics,388679,402771,11,14,153,138,Technical Lead,2,Low,5,Strong,50,7,Adequate,1.99,Scrum,Yes,65,Yes,Ad Hoc,Low,Yes,Intermediate,20,Mid,3,90,80,50,8,4.03,1,5.02,7.43,8.56,8.0,6.08,6.2,4.6,6.58,1
Project_6,Data Analytics,397494,391764,32,32,253,270,Technical Lead,2,Low,5,Weak,35,7,Limited,1.9,Scrum,Yes,95,Yes,Formal,Low,Yes,Intermediate,20,Junior,1,84,84,30,5,3.54,0,8.97,6.44,9.56,5.33,6.05,8.68,3.1,7.83,1
Project_7,AI/ML Project,468336,454568,40,44,331,318,Scrum Master,5,Low,9,Moderate,35,3,Adequate,12.21,Agile,Yes,67,Yes,Ad Hoc,Low,Yes,Intermediate,13,Senior,0,96,93,50,7,1.93,1,6.0,6.56,8.59,6.67,7.16,6.35,4.74,6.48,1
Project_8,Business System,449314,461504,8,13,299,300,Scrum Master,3,Low,1,Moderate,40,5,Insufficient,6.47,Waterfall,Yes,85,Yes,Formal,Low,Yes,Basic,20,Senior,3,90,94,30,2,3.02,1,5.79,5.4,8.56,9.0,6.48,6.29,5.25,6.39,1
Project_9,AI/ML Project,440393,451491,38,38,203,197,Project Manager,1,Low,9,Weak,35,2,Limited,0.46,Waterfall,Yes,70,Yes,Formal,Medium,Yes,Advanced,3,Mid,0,96,99,50,6,0.86,3,8.36,6.4,8.38,4.67,7.36,8.33,1.97,7.63,1
Project_10,AI/ML Project,233383,228648,35,36,357,357,Project Manager,1,Low,10,Moderate,50,8,Adequate,7.81,Scrum,Yes,93,Yes,Ad Hoc,Low,Yes,Basic,20,Junior,3,99,82,20,6,2.14,3,7.73,7.44,8.66,7.0,5.16,7.58,3.97,7.38,1
Project_11,Data Analytics,464230,471362,13,13,495,511,Project Manager,3,Medium,7,Weak,35,5,Adequate,5.16,Scrum,Yes,78,Yes,Formal,Low,Yes,Basic,7,Mid,3,94,80,20,5,2.24,0,9.14,7.06,9.1,9.0,6.16,8.78,2.9,8.31,1
Project_12,Business System,109367,109437,19,18,186,169,Scrum Master,3,Medium,6,Strong,40,10,Limited,7.87,Agile,Yes,87,Yes,Ad Hoc,Medium,Yes,Advanced,8,Senior,3,90,88,60,5,3.41,0,7.73,8.01,8.59,10.0,7.47,8.15,2.99,8.09,1
Project_13,Business System,325073,346727,23,26,224,247,Project Manager,3,Medium,5,Weak,40,4,Limited,4.61,Agile,Yes,73,Yes,Formal,Low,Yes,Intermediate,7,Mid,1,84,86,20,7,3.31,3,4.6,6.38,9.29,7.33,4.33,5.2,7.88,5.5,0
Project_14,AI/ML Project,355584,343444,15,15,255,263,Scrum Master,3,Medium,6,Moderate,35,7,Limited,9.76,Agile,Yes,80,Yes,Ad Hoc,Low,Yes,Advanced,16,Junior,1,94,100,30,9,1.82,2,8.58,6.87,9.12,5.33,5.81,7.82,3.83,7.41,1
Project_15,Data Analytics,89858,103485,26,30,136,128,Project Manager,5,Low,2,Weak,35,6,Adequate,11.73,Kanban,Yes,87,Yes,Formal,High,Yes,Basic,14,Senior,1,97,82,20,2,4.31,2,3.82,5.59,7.71,7.33,5.65,4.63,7.33,4.99,0
Project_16,Embedded System,149349,171818,11,16,175,197,Project Manager,4,Low,10,Weak,50,6,Limited,12.86,Agile,Yes,69,Yes,Formal,Medium,Yes,Intermediate,4,Junior,3,89,96,30,8,1.03,0,3.8,5.94,8.61,6.0,6.93,4.48,7.24,5.02,0
Project_17,Data Analytics,342698,357991,37,36,251,274,Scrum Master,1,High,6,Strong,35,2,Insufficient,8.58,Waterfall,Yes,60,Yes,Formal,Medium,Yes,Basic,13,Mid,3,99,80,30,6,1.83,1,7.05,6.67,7.62,8.0,6.38,7.12,5.05,6.77,1
Project_18,AI/ML Project,227379,248882,30,33,444,461,Technical Lead,4,High,5,Moderate,35,6,Limited,12.57,Kanban,Yes,90,Yes,Formal,High,Yes,Intermediate,20,Junior,0,85,92,30,5,4.97,3,3.96,6.82,8.0,4.67,5.2,4.55,8.21,4.78,0
Project_19,Web/Mobile App,199037,204764,20,21,254,272,Technical Lead,2,Medium,1,Weak,35,2,Adequate,7.47,Waterfall,Yes,77,Yes,Formal,Low,Yes,Basic,20,Senior,2,92,85,50,6,4.56,0,7.04,5.61,8.46,8.33,6.87,7.65,5.41,6.83,1
Project_20,Business System,373462,397154,39,42,357,361,Technical Lead,5,Medium,1,Strong,50,10,Adequate,6.56,Waterfall,Yes,66,Yes,Ad Hoc,Medium,Yes,Advanced,7,Senior,2,83,96,50,4,2.26,0,5.79,7.39,7.7,9.33,7.65,6.7,4.87,6.77,1
Project_21,Embedded System,224541,249562,18,18,211,230,Project Manager,2,High,1,Moderate,35,9,Adequate,8.65,Kanban,Yes,94,Yes,Ad Hoc,Low,Yes,Intermediate,13,Junior,3,85,86,20,3,0.76,1,6.4,7.38,8.68,7.0,6.93,6.84,5.36,6.71,1
